Word,Definition,Synonyms,Antonyms
scold,,"rebuke, reprimand","praise, commend"
Scowl,,frown,
secure,,"safe, protected","unsafe, insecure"
selfish,,"mean, greedy","generous, kind"
sensible,,"wise, reasonable","foolish, silly"
serene,,"calm, peaceful","agitated, disturbed"
severe,,"harsh, strict","gentle, mild"
Severe,,"austere, grievous, critical, stark, intense, wicked, plain, strong, serious, hard, bad, dangerous",
shallow,,"superficial, surface","deep, profound"
shame,,"disgrace, humiliation","honour, pride"
shiny,,"bright, gleaming","dull, dim"
shiver,,"tremble, shake","still, steady"
shrewd,,"clever, astute","stupid, foolish"
shrink,,"contract, diminish","expand, grow"
shy,,"timid, bashful","confident, bold"
Significant,,"profound, substantial, portentous, prodigious, remarkable, fundamental, important, noteworthy, operative, considerable, momentous, epochal","insignificant, unimportant, nonsignificant"
silent,,"quiet, mute","noisy, loud"
sincere,,"honest, genuine","insincere, dishonest"
sincere,,"honest, genuine","dishonest, insincere"
slack,,"loose, careless","tight, firm"
slender,,"thin, slim","fat, thick"
sluggish,,"slow, inactive","energetic, active"
small,,"tiny, little","big, large"
smart,,"clever, bright","dull, stupid"
smile,,"beam, grin","frown, scowl"
smooth,,"even, flat","rough, coarse"
sociable,,"friendly, outgoing","unsociable, shy"
solemn,,"serious, grave","light-hearted, cheerful"
solitary,,"alone, isolated","together, social"
Sonnet,,,
soothe,,"comfort, calm","agitate, upset"
sorrow,,"grief, sadness","joy, happiness"
spacious,,"roomy, vast","cramped, small"
sparkle,,"shine, glitter","dull, fade"
speedy,,"fast, quick","slow, sluggish"
Sphere,,"empyrean, domain, field, welkin, area, firmament, sector, orbit, sphere of influence, vault of heaven, arena, celestial sphere",
Spic,,,
spoil,,"ruin, damage","repair, mend"
spontaneous,,"impulsive, unplanned","planned, deliberate"
spotless,,"clean, immaculate","dirty, filthy"
sprightly,,"lively, energetic","dull, lifeless"
Squabble,,"niggle, fuss, spat, quibble, bickering, brabble, tiff, bicker, pettifog",
squander,,"waste, misuse","save, conserve"
Squeak,,"screech, screak, creak, skreak, close shave, squeaker, skreigh, skriech, skriegh, close call, narrow escape",
stable,,"steady, firm","unstable, shaky"
stale,,"old, rotten","fresh, new"
Stance,,,
stark,,"harsh, severe","soft, gentle"
startle,,"shock, surprise","calm, reassure"
steady,,"firm, stable","unsteady, shaky"
stern,,"strict, harsh","lenient, gentle"
stern,,"strict, harsh","gentle, lenient"
stiff,,"rigid, hard","flexible, soft"
stimulate,,"encourage, excite","dull, discourage"
stingy,,"miserly, mean","generous, giving"
Stipulatory,,"uncontroversial, noncontroversial, agreed upon",
Stolid,,"impassive, unemotional",
stout,,"strong, sturdy","weak, frail"
Stout,,"robust, fat, portly, hardy, resolute, stalwart, sturdy",
straight,,"direct, upright","crooked, bent"
strange,,"odd, unusual","normal, familiar"
Strenuous,,"arduous, energetic, effortful, straining",
strict,,"harsh, severe","lenient, gentle"
strive,,"attempt, try","give up, surrender"
strong,,"powerful, sturdy","weak, feeble"
strong,,"powerful, sturdy","weak, frail"
stubborn,,"obstinate, headstrong","flexible, compliant"
stun,,"shock, amaze","bore, calm"
subdue,,"conquer, suppress","encourage, release"
submissive,,"obedient, passive","rebellious, defiant"
Subservient,,"subordinate, submissive, servile, slavish",
substantial,,"significant, considerable","insignificant, trivial"
subtle,,"delicate, fine","obvious, blunt"
Subtlety,,"nuance, refinement, niceness, nicety, shade",
succinct,,"brief, concise","lengthy, wordy"
Succinet,,,
sufficient,,"adequate, enough","insufficient, lacking"
Suggestible,,susceptible,
sullen,,"gloomy, morose","cheerful, bright"
summit,,"peak, top","base, bottom"
Sundry,,"assorted, stuff, miscellaneous, whatsis, mixed, sundries, whatchamacallit, motley",
superb,,"excellent, splendid","poor, inferior"
Superfluous,,"otiose, redundant, excess, surplus, supererogatory, spare, unnecessary, pointless, extra, supernumerary, wasted, worthless",
superior,,"better, greater","inferior, worse"
Superiority,,"transcendence, transcendency, high quality, favorable position","inferiority, low quality"
supervise,,"oversee, manage","neglect, ignore"
Supplicate,,,
suppress,,"restrain, subdue","release, encourage"
Sups,,,
surplus,,"excess, extra","shortage, lack"
survive,,"endure, live","perish, die"
suspend,,"hang, delay","continue, advance"
Swallow,,"withdraw, accept, engross, immerse, bury, drink, deglutition, swallow up, take back, sup, get down, unsay",
swift,,"fast, quick","slow, sluggish"
Sycophancy,,,
sympathy,,"compassion, pity","cruelty, indifference"
talent,,"skill, ability","inability, weakness"
tame,,"domesticate, gentle","wild, ferocious"
Tapestry,,"tapis, arras",
Tardy,,"late, belated, unpunctual",
taunt,,"mock, tease","praise, compliment"
Taut,,"tense, drawn, tight",
tedious,,"boring, dull","exciting, interesting"
temperate,,"mild, moderate","extreme, harsh"
Tempestuous,,"wild, angry, furious, raging, stormy",
tenacious,,"persistent, determined","weak, yielding"
tender,,"gentle, soft","hard, harsh"
tense,,"anxious, nervous","calm, relaxed"
terminate,,"end, conclude","begin, start"
Terminate,,"dismiss, fire, cease, end, sack, stop, finish, force out, give notice, give the axe, send away, can","engage, employ, commence, start, get, begin, set about, set out, start out, lead off, hire"
terrify,,"frighten, scare","comfort, reassure"
testify,,"declare, prove","deny, refute"
thrifty,,"frugal, economical","wasteful, extravagant"
thrifty,,"frugal, economical","extravagant, wasteful"
thrive,,"prosper, flourish","decline, fail"
tidy,,"neat, orderly","messy, untidy"
timid,,"shy, fearful","brave, bold"
timid,,"shy, fearful","bold, brave"
tolerant,,"patient, accepting","intolerant, harsh"
torment,,"torture, distress","comfort, soothe"
tough,,"strong, hardy","weak, soft"
Traitor,,"treasonist, double-dealer, double-crosser, betrayer",
tranquil,,"calm, peaceful","chaotic, noisy"
tranquil,,"calm, peaceful","chaotic, noisy"
Tranquility,,"repose, quietude, placidity, quiet, quietness, serenity, tranquillity",
transient,,"temporary, short-lived","permanent, lasting"
Transient,,"ephemeral, transitory, fugacious, impermanent, temporary, transeunt, passing, short-lived","immanent, subjective"
transparent,,"clear, obvious","opaque, hidden"
treacherous,,"dangerous, unreliable","safe, trustworthy"
tremble,,"shake, shiver","steady, still"
Trepidation,,,
trivial,,"insignificant, unimportant","important, significant"
Trivial,,"superficial, banal, frivolous, ordinary, insignificant, petty, picayune, little, piddling, commonplace, piffling, niggling",
trouble,,"difficulty, problem","ease, solution"
truce,,"peace, ceasefire","conflict, war"
trustworthy,,"reliable, dependable","unreliable, dishonest"
truthful,,"honest, sincere","dishonest, false"
turbulent,,"stormy, chaotic","calm, peaceful"
Turbulent,,"agitated, tumultuous, riotous, troubled, roiled, unquiet, roiling, roily, disruptive, churning",
Tweak,,"pinch, pluck, pull off, pick off",
tyrant,,"dictator, oppressor","liberator, democrat"
ugly,,"unattractive, hideous","beautiful, pretty"
ultimate,,"final, last","initial, first"
Ultimatum,,,
unable,,"incapable, unfit","able, capable"
unanimous,,"agreed, united","divided, split"
Unanimous,,"solid, accordant, consentaneous, unvaried, consentient, undiversified, of one mind",
uncommon,,"rare, unusual","common, ordinary"
uncouth,,"rude, impolite","polite, courteous"
undergo,,"experience, endure","avoid, evade"
undermine,,"weaken, sabotage","strengthen, support"
uneasy,,"anxious, troubled","calm, relaxed"
Unfathomable,,"fathomless, bottomless, unsoundable","comprehensible, fathomable"
unfortunate,,"unlucky, unhappy","fortunate, lucky"
unique,,"special, distinct","common, ordinary"
unique,,"special, distinct","common, ordinary"
unite,,"join, combine","separate, divide"
universal,,"worldwide, general","local, specific"
unkempt,,"messy, untidy","neat, tidy"
unlawful,,"illegal, criminal","legal, lawful"
Unorthodox,,"unconventional, dissident, recusant, irregular, dissentient, iconoclastic, heretical, heterodox, nonconforming, maverick, nonconformist, reformed",orthodox
unruly,,"disorderly, wild","obedient, disciplined"
Unscrupulous,,"crooked, corrupt, dishonest",scrupulous
Unsurpassed,,"best, unexcelled, unexceeded",
unveil,,"reveal, expose","conceal, hide"
Unwitting,,"ignorant, unaware, unintentional, unintended, unknowledgeable, uninformed, unknowing, unplanned","aware, witting"
upbraid,,"scold, blame","praise, commend"
uplift,,"raise, inspire","lower, depress"
uplift,,"raise, inspire","depress, lower"
upright,,"honest, just","dishonest, corrupt"
upset,,"disturb, worry","comfort, soothe"
urgent,,"pressing, critical","unimportant, trivial"
urgent,,"pressing, critical","unimportant, trivial"
useful,,"helpful, practical","useless, pointless"
usurp,,"seize, grab","surrender, release"
utmost,,"greatest, extreme","least, smallest"
vacant,,"empty, unoccupied","full, occupied"
vacant,,"empty, unoccupied","occupied, full"
vague,,"unclear, indistinct","clear, definite"
Vague,,"obscure, indistinct, dim, indeterminate, faint, shadowy, unclear, wispy, indefinable, undefinable, undefined",defined
vain,,"arrogant, conceited","humble, modest"
Vain,,"conceited, futile, proud, egotistical, fruitless, self-conceited, unproductive, swollen, sleeveless, bootless, egotistic, swollen-headed",
valiant,,"brave, courageous","cowardly, timid"
valid,,"genuine, sound","invalid, false"
Vanadium,,"v, atomic number 23",
Vanguard,,"cutting edge, forefront, avant garde, van",
vanish,,"disappear, fade","appear, emerge"
Vapid,,"insipid, flat, tasteless, flavorless, unexciting, unstimulating, savorless, flavourless, bland",
vast,,"huge, immense","tiny, small"
veer,,"swerve, turn","continue, remain"
veil,,"caul, humeral veil, head covering, embryonic membrane, fetal membrane",unveil
Venerable,,"revered, old, august, honorable, honourable",
vengeance,,"revenge, retaliation","forgiveness, pardon"
Ventriloquist,,,
venture,,"undertake, risk","avoid, refuse"
verdict,,"judgement, decision","uncertainty, doubt"
Verge,,"threshold, brink, sceptre, wand, scepter",
versatile,,"adaptable, flexible","inflexible, limited"
versatile,,"adaptable, flexible","inflexible, limited"
vex,,"annoy, irritate","please, delight"
Viable,,"feasible, possible, practicable, workable",
vibrate,,"shake, quiver","still, steady"
Vicarious,,secondary,
Vice,,frailty,
vicious,,"cruel, savage","kind, gentle"
victory,,"win, triumph","defeat, loss"
Vigilant,,"wakeful, open-eyed, watchful, alert, argus-eyed",
vigorous,,"energetic, strong","weak, feeble"
vile,,"disgusting, wicked","pleasant, good"
Vility,,,
violent,,"brutal, savage","gentle, peaceful"
virtue,,"goodness, morality","vice, wickedness"
Virtue,,"merit, virtuousness, moral excellence, chastity, sexual morality","fault, demerit"
Virtuous,,"good, just, pure, moral, chaste, impeccable, innocent, righteous, upright, vestal, virgin, impeccant",wicked
visible,,"seen, clear","invisible, hidden"
vital,,"essential, important","unimportant, trivial"
vivacious,,"lively, spirited","dull, lifeless"
vivid,,"bright, clear","dull, faint"
vivid,,"bright, clear","dull, faint"
Vivid,,"intense, clear, bright, brilliant, pure, saturated, pictorial, realistic, graphic, colorful, lifelike, colourful",
Vixen,,"harpy, hellcat",
vocal,,"spoken, outspoken","silent, mute"
voluntary,,"optional, willing","compulsory, forced"
Voracious,,"esurient, rapacious, ravenous, ravening, acquisitive, edacious, gluttonous, wolfish",
vulgar,,"rude, crude","refined, polite"
vulnerable,,"weak, exposed","strong, protected"
vulnerable,,"weak, exposed","strong, protected"
wail,,"cry, lament","rejoice, celebrate"
wander,,"roam, drift","stay, settle"
wane,,"diminish, decrease","grow, increase"
wane,,"diminish, decrease","increase, grow"
want,,"desire, need","dislike, refuse"
warily,,"cautiously, carefully","recklessly, carelessly"
wary,,"careful, cautious","careless, reckless"
Wary,,"leery, distrustful, suspicious, shy, mistrustful, on guard, untrusting, on your guard",unwary
waste,,"squander, misuse","save, conserve"
watchful,,"alert, attentive","careless, inattentive"
wealthy,,"rich, affluent","poor, needy"
weary,,"tired, exhausted","energetic, lively"
weird,,"strange, odd","normal, ordinary"
whimper,,"sob, cry","rejoice, cheer"
Whimsical,,"capricious, arbitrary, impulsive",
wholesome,,"healthy, beneficial","unhealthy, harmful"
wicked,,"evil, sinful","good, virtuous"
widespread,,"common, extensive","rare, limited"
wilt,,"droop, wither","flourish, thrive"
wily,,"cunning, sly","honest, naive"
wince,,"flinch, recoil","face, confront"
wise,,"sensible, intelligent","foolish, stupid"
wise,,"intelligent, prudent","foolish, stupid"
wither,,"shrivel, fade","flourish, thrive"
Wither,,"shrink, fade, shrivel, shrivel up",
witty,,"clever, humorous","dull, boring"
witty,,"humorous, clever","dull, boring"
wonder,,"awe, amazement","boredom, indifference"
worn,,"used, shabby","new, fresh"
worthless,,"valueless, useless","valuable, worthy"
Wretch,,poor devil,
wretched,,"miserable, unhappy","happy, joyful"
xerox,,"copy, duplicate","originate, create"
Yeam,,,
Yeamed,,,
yearn,,"long, desire","despise, dislike"
yield,,"produce, surrender","resist, refuse"
youthful,,"young, lively","old, aged"
zeal,,"enthusiasm, passion","apathy, indifference"
zealous,,"eager, passionate","indifferent, apathetic"
zenith,,"peak, summit","nadir, bottom"
zephyr,,"breeze, wind","storm, gale"
zest,,"enthusiasm, energy","apathy, indifference"
